,name,title,website,does_research,mentions_diff_eq
0,Scott  Ahlgren,Professor,https://math.illinois.edu/directory/profile/sahlgren,True,False
1,Pierre Albin,Professor and Helen Corley Petit Scholar,https://math.illinois.edu/directory/profile/palbin,True,False
2,Matthew Ando,"Professor of Mathematics and Associate Dean for Life and Physical Sciences, College of LAS",https://math.illinois.edu/directory/profile/mando,True,False
3,Jozsef Balog,Professor and J. Andrew and Susan Langan Scholar,https://math.illinois.edu/directory/profile/jobal,True,False
4,Yuliy Baryshnikov,Professor of Mathematics and Electrical and Computer Engineering,https://math.illinois.edu/directory/profile/ymb,True,False
5,Daniel Berwick-Evans,Assistant Professor,https://math.illinois.edu/directory/profile/danbe,True,False
6,Florin P. Boca,Professor,https://math.illinois.edu/directory/profile/fboca,True,False
7,Steven  Bradlow,Professor,https://math.illinois.edu/directory/profile/bradlow,True,False
8,Jared  Bronski,Professor,https://math.illinois.edu/directory/profile/bronski,True,False
9,Alfred  Chong,Assistant Professor,https://math.illinois.edu/directory/profile/wfchong,True,True
10,Lee DeVille,"Director of Graduate Studies, Professor",https://math.illinois.edu/directory/profile/rdeville,True,True
11,Partha  Dey,Assistant Professor,https://math.illinois.edu/directory/profile/psdey,True,False
12,Philippe Di Francesco,Morris and Gertrude Fine Distinguished Professor of Mathematics,https://math.illinois.edu/directory/profile/philippe,True,False
13,Christopher  Dodd,Assistant Professor,https://math.illinois.edu/directory/profile/csdodd2,True,False
14,Nathan M.  Dunfield,Professor,https://math.illinois.edu/directory/profile/nmd,True,False
15,Sankar P. Dutta,Professor,https://math.illinois.edu/directory/profile/s-dutta,True,False
16,Iwan M. Duursma,Professor,https://math.illinois.edu/directory/profile/duursma,True,False
17,M. Burak  Erdoğan ,Professor,https://math.illinois.edu/directory/profile/berdogan,True,True
18,Runhuan Feng,ProfessorDirector of Actuarial ScienceDirector of Predictive Analytics and Risk ManagementH.P. Petit Professorial ScholarState Farm Companies Foundation Scholar in Actuarial Science,https://math.illinois.edu/directory/profile/rfeng,True,False
19,Kevin Ford,Professor,https://math.illinois.edu/directory/profile/ford126,True,False
20,Rosemary Guzman,Teaching Assistant Professor,https://math.illinois.edu/directory/profile/rguzma1,True,False
21,William  Haboush,Professor,https://math.illinois.edu/directory/profile/whaboush,True,False
22,Jeremiah  Heller,Associate Professor,https://math.illinois.edu/directory/profile/jbheller,True,False
23,Philipp Hieronymi,"Director, Illinois Geometry Lab, Associate Professor",https://math.illinois.edu/directory/profile/phierony,True,False
24,Aimo  Hinkkanen,Professor,https://math.illinois.edu/directory/profile/aimo,True,False
25,Anil  Hirani,Associate Professor,https://math.illinois.edu/directory/profile/hirani,True,False
26,Vera Mikyoung Hur,Professor and Philippe Tondeur ScholarBrad and Karen Smith Professorial Scholar,https://math.illinois.edu/directory/profile/verahur,True,True
27,Sergei V Ivanov,Professor,https://math.illinois.edu/directory/profile/ivanov,True,False
28,Marius Junge,Professor,https://math.illinois.edu/directory/profile/mjunge,True,False
29,Sheldon Katz,Professor and Arthur Coble Scholar,https://math.illinois.edu/directory/profile/katzs,True,False
30,Rinat Kedem,Professor and Lois M. Lackner Faculty Scholar,https://math.illinois.edu/directory/profile/rinat,True,False
31,Ely Kerman,"Associate Chair, Professor",https://math.illinois.edu/directory/profile/ekerman,True,False
32,Kay  Kirkpatrick,"Associate Professor, Blackwell Scholar, and Helen Corley Petit Scholar",https://math.illinois.edu/directory/profile/kkirkpat,True,True
33,Eduard-Wilhelm Kirr,Associate Professor,https://math.illinois.edu/directory/profile/ekirr,True,True
34,Alexandr  Kostochka,Professor,https://math.illinois.edu/directory/profile/kostochk,True,False
35,Denka  Kutzarova,Professor,https://math.illinois.edu/directory/profile/denka,True,False
36,Gabriele La Nave,Research Assistant Professor,https://math.illinois.edu/directory/profile/lanave,True,False
37,Richard S. Laugesen,Professor,https://math.illinois.edu/directory/profile/laugesen,True,True
38,Felix Leditzky,Assistant Professor,https://math.illinois.edu/directory/profile/leditzky,True,False
39,Eugene M.  Lerman,Professor,https://math.illinois.edu/directory/profile/lerman,True,False
40,Xiaochun Li,Professor,https://math.illinois.edu/directory/profile/xcli,True,False
