,name,title,website,does_research,mentions_diff_eq
9,Alfred  Chong,Assistant Professor,https://math.illinois.edu/directory/profile/wfchong,True,True
10,Lee DeVille,"Director of Graduate Studies, Professor",https://math.illinois.edu/directory/profile/rdeville,True,True
17,M. Burak  Erdoğan ,Professor,https://math.illinois.edu/directory/profile/berdogan,True,True
26,Vera Mikyoung Hur,Professor and Philippe Tondeur ScholarBrad and Karen Smith Professorial Scholar,https://math.illinois.edu/directory/profile/verahur,True,True
32,Kay  Kirkpatrick,"Associate Professor, Blackwell Scholar, and Helen Corley Petit Scholar",https://math.illinois.edu/directory/profile/kkirkpat,True,True
33,Eduard-Wilhelm Kirr,Associate Professor,https://math.illinois.edu/directory/profile/ekirr,True,True
37,Richard S. Laugesen,Professor,https://math.illinois.edu/directory/profile/laugesen,True,True
49,Zoi Rapti,Associate Professor,https://math.illinois.edu/directory/profile/zrapti,True,True
52,Renming Song,Professor,https://math.illinois.edu/directory/profile/rsong,True,True
59,Nikolaos Tzirakis,Professor,https://math.illinois.edu/directory/profile/tzirakis,True,True
63,Vadim Zharnitsky,Professor,https://math.illinois.edu/directory/profile/vzh,True,True
107,Zhao Yang,J.L. Doob Research Assistant Professor,https://math.illinois.edu/directory/profile/zhaouiuc,True,True
128,Ararat Babakhanian,Professor Emeritus,https://math.illinois.edu/directory/profile/ababakha,True,True
170,Philippe Tondeur,Professor Emeritus,https://math.illinois.edu/directory/profile/tondeur,True,True
177,Jang-Mei Wu,Professor Emeritus,https://math.illinois.edu/directory/profile/jmwu,True,True
